date,price_eur_t
2018-01-05,9.54
2018-01-12,8.69
2018-01-19,9.38
2018-01-26,10.63
2018-02-02,10.56
2018-02-09,8.52
2018-02-16,10.29
2018-02-23,9.65
2018-03-02,9.92
2018-03-09,10.56
2018-03-16,10.58
2018-03-23,11.86
2018-03-30,11.54
2018-04-06,11.37
2018-04-13,12.01
2018-04-20,12.31
2018-04-27,13.62
2018-05-04,12.65
2018-05-11,13.45
2018-05-18,12.9
2018-05-25,11.92
2018-06-01,14.87
2018-06-08,15.43
2018-06-15,14.53
2018-06-22,17.32
2018-06-29,14.73
2018-07-06,16.25
2018-07-13,16.37
2018-07-20,18.05
2018-07-27,18.31
2018-08-03,17.56
2018-08-10,18.04
2018-08-17,17.33
2018-08-24,16.76
2018-08-31,18.37
2018-09-07,19.08
2018-09-14,20.25
2018-09-21,20.53
2018-09-28,19.56
2018-10-05,19.85
2018-10-12,19.4
2018-10-19,19.26
2018-10-26,19.18
2018-11-02,22.26
2018-11-09,20.44
2018-11-16,20.65
2018-11-23,20.15
2018-11-30,21.93
2018-12-07,20.17
2018-12-14,21.44
2018-12-21,21.04
2018-12-28,22.22
2019-01-04,21.72
2019-01-11,21.5
2019-01-18,22.73
2019-01-25,23.41
2019-02-01,23.43
2019-02-08,23.93
2019-02-15,23.49
2019-02-22,24.02
2019-03-01,24.08
2019-03-08,24.65
2019-03-15,24.59
2019-03-22,24.17
2019-03-29,26.01
2019-04-05,25.77
2019-04-12,24.94
2019-04-19,26.77
2019-04-26,25.82
2019-05-03,26.74
2019-05-10,27.44
2019-05-17,27.11
2019-05-24,28.08
2019-05-31,26.33
2019-06-07,27.79
2019-06-14,27.08
2019-06-21,27.08
2019-06-28,27.47
2019-07-05,27.62
2019-07-12,27.69
2019-07-19,26.48
2019-07-26,27.91
2019-08-02,27.33
2019-08-09,25.5
2019-08-16,27.69
2019-08-23,27.79
2019-08-30,26.99
2019-09-06,25.67
2019-09-13,24.73
2019-09-20,26.2
2019-09-27,24.81
2019-10-04,25.95
2019-10-11,25.06
2019-10-18,25.6
2019-10-25,25.02
2019-11-01,25.23
2019-11-08,24.6
2019-11-15,25.94
2019-11-22,24.54
2019-11-29,24.68
2019-12-06,25.79
2019-12-13,23.13
2019-12-20,23.11
2019-12-27,24.83
2020-01-03,22.89
2020-01-10,24.76
2020-01-17,22.26
2020-01-24,21.38
2020-01-31,22.9
2020-02-07,21.93
2020-02-14,21.63
2020-02-21,20.24
2020-02-28,18.21
2020-03-06,19.81
2020-03-13,17.46
2020-03-20,17.7
2020-03-27,17.2
2020-04-03,16.12
2020-04-10,17.58
2020-04-17,18.67
2020-04-24,19.08
2020-05-01,18.75
2020-05-08,20.71
2020-05-15,22.38
2020-05-22,21.61
2020-05-29,22.89
2020-06-05,23.51
2020-06-12,26.18
2020-06-19,26.09
2020-06-26,26.72
2020-07-03,26.36
2020-07-10,27.33
2020-07-17,26.29
2020-07-24,26.78
2020-07-31,26.17
2020-08-07,27.14
2020-08-14,26.98
2020-08-21,26.28
2020-08-28,26.69
2020-09-04,25.42
2020-09-11,25.02
2020-09-18,26.49
2020-09-25,26.2
2020-10-02,26.58
2020-10-09,28.52
2020-10-16,27.9
2020-10-23,26.94
2020-10-30,29.1
2020-11-06,27.69
2020-11-13,28.9
2020-11-20,29.75
2020-11-27,31.71
2020-12-04,30.27
2020-12-11,30.74
2020-12-18,31.86
2020-12-25,31.94
2021-01-01,33.9
2021-01-08,32.99
2021-01-15,33.79
2021-01-22,35.22
